Student id,Career,Faculty Group,Gender
72,Graduate,ARTS,Male
73,Graduate,ARTS,Male
74,Graduate,ARTS,Female
75,Graduate,ARTS,Male
76,Graduate,ARTS,Female
77,Graduate,ARTS,Male
78,Graduate,ARTS,Female
79,Graduate,ARTS,Male
80,Graduate,ARTS,Male
81,Graduate,ARTS,Female
82,Graduate,ARTS,Male
83,Graduate,ARTS,Female
84,Graduate,ARTS,Male
85,Graduate,ARTS,Female
86,Graduate,ARTS,Male
87,Graduate,ARTS,Female
88,Graduate,ARTS,Male
89,Graduate,ARTS,Female
90,Graduate,ARTS,Male
91,Graduate,ARTS,Female
92,Graduate,ARTS,Female
93,Graduate,ARTS,Female
94,Graduate,ARTS,Male
95,Graduate,ARTS,Female
96,Graduate,ARTS,Female
97,Graduate,ARTS,Male
98,Graduate,ARTS,Female
99,Graduate,ARTS,Female
100,Graduate,ARTS,Male
101,Graduate,ARTS,Female
102,Graduate,ARTS,Male
103,Graduate,ARTS,Female
104,Graduate,ARTS,Male
105,Graduate,ARTS,Female
106,Graduate,ARTS,Male
107,Graduate,ARTS,Female
108,Graduate,ARTS,Female
109,Graduate,ARTS,Male
110,Graduate,ARTS,Female
111,Graduate,ARTS,Female
112,Graduate,ENG,Male
113,Graduate,ENG,Female
114,Graduate,ENG,Male
115,Graduate,ENG,Female
116,Graduate,ENG,Male
117,Graduate,ENG,Male
118,Graduate,ENG,Female
119,Graduate,ENG,Male
120,Graduate,ENG,Female
121,Graduate,ENG,Male
122,Graduate,ENG,Female
123,Graduate,ENG,Male
124,Graduate,ENG,Female
125,Graduate,ENG,Male
126,Graduate,ENG,Female
127,Graduate,ENG,Male
128,Graduate,ENG,Male
129,Graduate,ENG,Male
130,Graduate,ENG,Female
131,Graduate,ENG,Male
132,Graduate,ENG,Female
133,Graduate,ENG,Male
134,Graduate,ENG,Female
135,Graduate,ENG,Male
136,Graduate,ENG,Female
137,Graduate,ENG,Male
138,Graduate,ENG,Male
139,Graduate,ENG,Male
140,Graduate,ENG,Male
141,Graduate,ENG,Female
142,Graduate,ENG,Male
143,Graduate,ENG,Female
144,Graduate,ENG,Male
145,Graduate,ENG,Female
146,Graduate,ENG,Male
147,Graduate,ENG,Female
148,Graduate,ENG,Male
149,Graduate,ENG,Female
150,Graduate,ENG,Male
151,Graduate,ENG,Female
152,Graduate,ENG,Male
153,Graduate,ENG,Female
154,Graduate,ENG,Male
155,Graduate,ENG,Female
156,Graduate,ENG,Male
157,Graduate,ENG,Female
158,Graduate,ENG,Male
159,Graduate,ENG,Female
160,Graduate,ENG,Male
161,Graduate,ENG,Female
162,Graduate,ENG,Male
163,Graduate,ENG,Female
164,Graduate,ENG,Male
165,Graduate,ENG,Female
166,Graduate,ENG,Female
167,Graduate,ENG,Female
168,Graduate,ENG,Male
169,Graduate,ENG,Female
170,Graduate,ENG,Male
171,Graduate,ENG,Female
172,Graduate,ENG,Male
173,Graduate,ENG,Female
174,Graduate,ENG,Male
175,Graduate,ENG,Female
176,Graduate,ENG,Male
177,Graduate,ENG,Female
178,Graduate,ENG,Male
179,Graduate,ENG,Female
180,Graduate,ENG,Male
181,Graduate,ENG,Female
182,Graduate,ENG,Male
183,Graduate,ENG,Female
184,Graduate,ENG,Male
185,Graduate,ENG,Female
186,Graduate,ENG,Male
187,Graduate,ENG,Female
188,Graduate,ENG,Male
189,Graduate,ENG,Male
190,Graduate,ENG,Female
191,Graduate,ENG,Male
192,Graduate,ENG,Female
193,Graduate,ENG,Male
194,Graduate,ENG,Female
195,Graduate,ENG,Male
196,Graduate,ENG,Female
197,Graduate,ENG,Male
198,Graduate,ENV,Male
199,Graduate,ENV,Female
200,Graduate,ENV,Male
201,Graduate,ENV,Female
202,Graduate,ENV,Male
203,Graduate,ENV,Female
204,Graduate,ENV,Male
205,Graduate,ENV,Female
206,Graduate,ENV,Male
207,Graduate,ENV,Female
208,Graduate,ENV,Male
209,Graduate,ENV,Female
210,Graduate,ENV,Male
211,Graduate,ENV,Female
212,Graduate,ENV,Female
213,Graduate,ENV,Male
214,Graduate,ENV,Female
215,Graduate,ENV,Male
216,Graduate,ENV,Female
217,Graduate,ENV,Male
218,Graduate,ENV,Female
219,Graduate,ENV,Female
220,Graduate,ENV,Male
221,Graduate,ENV,Female
222,Graduate,ENV,Male
223,Graduate,ENV,Female
224,Graduate,ENV,Male
225,Graduate,ENV,Female
226,Graduate,ENV,Male
227,Graduate,ENV,Male
228,Graduate,ENV,Female
229,Graduate,ENV,Male
230,Graduate,ENV,Female
231,Graduate,MATH,Male
232,Graduate,MATH,Female
233,Graduate,MATH,Male
234,Graduate,MATH,Female
235,Graduate,MATH,Male
236,Graduate,MATH,Female
237,Graduate,MATH,Male
238,Graduate,MATH,Female
239,Graduate,MATH,Male
240,Graduate,MATH,Female
241,Graduate,MATH,Male
242,Graduate,MATH,Female
243,Graduate,MATH,Male
244,Graduate,MATH,Female
245,Graduate,MATH,Male
246,Graduate,MATH,Male
247,Graduate,MATH,Female
248,Graduate,MATH,Female
249,Graduate,MATH,Female
250,Graduate,MATH,Female
251,Graduate,MATH,Male
252,Graduate,MATH,Male
253,Graduate,MATH,Female
254,Graduate,MATH,Male
255,Graduate,MATH,Female
256,Graduate,MATH,Male
257,Graduate,MATH,Female
258,Graduate,MATH,Male
259,Graduate,MATH,Female
260,Graduate,MATH,Male
261,Graduate,MATH,Male
262,Graduate,MATH,Male
263,Graduate,MATH,Female
264,Graduate,MATH,Male
265,Graduate,MATH,Female
266,Graduate,MATH,Male
267,Graduate,MATH,Male
268,Graduate,MATH,Female
269,Graduate,MATH,Male
270,Graduate,MATH,Female
271,Graduate,MATH,Male
272,Graduate,MATH,Female
273,Graduate,SCI,Male
274,Graduate,SCI,Female
275,Graduate,SCI,Female
276,Graduate,SCI,Male
277,Graduate,SCI,Female
278,Graduate,SCI,Male
279,Graduate,SCI,Female
280,Graduate,SCI,Male
281,Graduate,SCI,Female
282,Graduate,SCI,Male
283,Graduate,SCI,Female
284,Graduate,SCI,Male
285,Graduate,SCI,Female
286,Graduate,SCI,Male
287,Graduate,SCI,Female
288,Graduate,SCI,Male
289,Graduate,SCI,Female
290,Graduate,SCI,Male
291,Graduate,SCI,Female
292,Graduate,SCI,Male
293,Graduate,SCI,Female
294,Graduate,SCI,Male
295,Graduate,SCI,Female
296,Graduate,SCI,Male
297,Graduate,SCI,Male
298,Graduate,SCI,Female
299,Graduate,SCI,Male
300,Graduate,SCI,Male
301,Graduate,SCI,Female
302,Graduate,SCI,Male
303,Graduate,SCI,Female
304,Graduate,SCI,Male
305,Graduate,SCI,Female
306,Graduate,SCI,Male
307,Graduate,SCI,Female
308,Graduate,SCI,Male
309,Undergraduate,ARTS,Male
310,Undergraduate,ARTS,Female
311,Undergraduate,ARTS,Male
312,Undergraduate,ARTS,Female
313,Undergraduate,ARTS,Male
314,Undergraduate,ARTS,Female
315,Undergraduate,ARTS,Male
316,Undergraduate,ARTS,Female
317,Undergraduate,ARTS,Female
318,Undergraduate,ARTS,Female
319,Undergraduate,ARTS,Male
320,Undergraduate,ARTS,Female
321,Undergraduate,ARTS,Male
322,Undergraduate,ARTS,Male
323,Undergraduate,ARTS,Female
324,Undergraduate,ARTS,Male
325,Undergraduate,ARTS,Female
326,Undergraduate,ARTS,Male
327,Undergraduate,ARTS,Female
328,Undergraduate,ARTS,Female
329,Undergraduate,ARTS,Female
330,Undergraduate,ARTS,Female
331,Undergraduate,MATH,Male
332,Undergraduate,MATH,Female
333,Undergraduate,MATH,Male
334,Undergraduate,MATH,Female
335,Undergraduate,MATH,Female
336,Undergraduate,MATH,Female
337,Undergraduate,MATH,Male
338,Undergraduate,MATH,Female
339,Undergraduate,MATH,Male
340,Undergraduate,MATH,Female
341,Undergraduate,MATH,Male
342,Undergraduate,MATH,Male
343,Undergraduate,MATH,Male
344,Undergraduate,MATH,Female
345,Undergraduate,MATH,Male
346,Undergraduate,MATH,Female
347,Undergraduate,MATH,Male
348,Undergraduate,MATH,Female
349,Undergraduate,MATH,Male
350,Undergraduate,MATH,Male
351,Undergraduate,MATH,Female
352,Undergraduate,MATH,Male
353,Undergraduate,MATH,Male
354,Undergraduate,MATH,Female
355,Undergraduate,AHS,Male
356,Undergraduate,AHS,Female
357,Undergraduate,AHS,Female
358,Undergraduate,AHS,Female
359,Undergraduate,AHS,Female
360,Undergraduate,AHS,Male
361,Undergraduate,AHS,Female
362,Undergraduate,AHS,Male
363,Undergraduate,AHS,Female
364,Undergraduate,AHS,Male
365,Undergraduate,AHS,Female
366,Undergraduate,AHS,Male
367,Undergraduate,AHS,Female
368,Undergraduate,AHS,Female
369,Undergraduate,AHS,Male
370,Undergraduate,AHS,Female
371,Undergraduate,AHS,Female
372,Undergraduate,AHS,Female
373,Undergraduate,AHS,Male
374,Undergraduate,AHS,Female
375,Undergraduate,AHS,Male
376,Undergraduate,AHS,Female
377,Undergraduate,AHS,Male
378,Undergraduate,AHS,Female
379,Undergraduate,ARTS,Male
380,Undergraduate,ARTS,Female
381,Undergraduate,ARTS,Male
382,Undergraduate,ARTS,Female
383,Undergraduate,ARTS,Male
384,Undergraduate,ARTS,Female
385,Undergraduate,ARTS,Male
386,Undergraduate,ARTS,Female
387,Undergraduate,ARTS,Male
388,Undergraduate,ARTS,Female
389,Undergraduate,ARTS,Male
390,Undergraduate,ARTS,Female
391,Undergraduate,ARTS,Male
392,Undergraduate,ARTS,Female
393,Undergraduate,ARTS,Male
394,Undergraduate,ARTS,Female
395,Undergraduate,ARTS,Male
396,Undergraduate,ARTS,Female
397,Undergraduate,ARTS,Male
398,Undergraduate,ARTS,Female
399,Undergraduate,ARTS,Male
400,Undergraduate,ARTS,Female
401,Undergraduate,ARTS,Male
402,Undergraduate,ARTS,Female
403,Undergraduate,ARTS,Male
404,Undergraduate,ARTS,Female
405,Undergraduate,ARTS,Male
406,Undergraduate,ARTS,Female
407,Undergraduate,ARTS,Female
408,Undergraduate,ARTS,Female
409,Undergraduate,ARTS,Female
410,Undergraduate,ARTS,Female
411,Undergraduate,ARTS,Male
412,Undergraduate,ARTS,Female
413,Undergraduate,ARTS,Male
414,Undergraduate,ARTS,Male
415,Undergraduate,ARTS,Female
416,Undergraduate,ARTS,Male
417,Undergraduate,ARTS,Male
418,Undergraduate,ARTS,Male
419,Undergraduate,ARTS,Female
420,Undergraduate,ARTS,Female
421,Undergraduate,ARTS,Male
422,Undergraduate,ARTS,Male
423,Undergraduate,ARTS,Female
424,Undergraduate,CFM,Male
425,Undergraduate,CFM,Female
426,Undergraduate,CFM,Male
427,Undergraduate,CFM,Female
428,Undergraduate,CFM,Female
429,Undergraduate,ENG,Male
430,Undergraduate,ENG,Female
431,Undergraduate,ENG,Male
432,Undergraduate,ENG,Female
433,Undergraduate,ENG,Male
434,Undergraduate,ENG,Male
435,Undergraduate,ENG,Female
436,Undergraduate,ENG,Male
437,Undergraduate,ENG,Female
438,Undergraduate,ENG,Male
439,Undergraduate,ENG,Female
440,Undergraduate,ENG,Male
441,Undergraduate,ENG,Female
442,Undergraduate,ENG,Male
443,Undergraduate,ENG,Female
444,Undergraduate,ENG,Male
445,Undergraduate,ENG,Female
446,Undergraduate,ENG,Male
447,Undergraduate,ENG,Female
448,Undergraduate,ENG,Male
449,Undergraduate,ENG,Female
450,Undergraduate,ENG,Male
451,Undergraduate,ENG,Female
452,Undergraduate,ENG,Female
453,Undergraduate,ENG,Male
454,Undergraduate,ENG,Female
455,Undergraduate,ENG,Male
456,Undergraduate,ENG,Female
457,Undergraduate,ENG,Male
458,Undergraduate,ENG,Female
459,Undergraduate,ENG,Male
460,Undergraduate,ENG,Female
461,Undergraduate,ENG,Male
462,Undergraduate,ENG,Female
463,Undergraduate,ENG,Male
464,Undergraduate,ENG,Female
465,Undergraduate,ENG,Male
466,Undergraduate,ENG,Female
467,Undergraduate,ENG,Male
468,Undergraduate,ENG,Female
469,Undergraduate,ENG,Male
470,Undergraduate,ENG,Female
471,Undergraduate,ENG,Female
472,Undergraduate,ENG,Male
473,Undergraduate,ENG,Female
474,Undergraduate,ENG,Male
475,Undergraduate,ENG,Female
476,Undergraduate,ENG,Male
477,Undergraduate,ENG,Female
478,Undergraduate,ENG,Male
479,Undergraduate,ENG,Female
480,Undergraduate,ENG,Male
481,Undergraduate,ENG,Female
482,Undergraduate,ENG,Male
483,Undergraduate,ENG,Female
484,Undergraduate,ENG,Male
485,Undergraduate,ENG,Female
486,Undergraduate,ENG,Male
487,Undergraduate,ENG,Female
488,Undergraduate,ENG,Male
489,Undergraduate,ENG,Male
490,Undergraduate,ENG,Female
491,Undergraduate,ENG,Male
492,Undergraduate,ENG,Female
493,Undergraduate,ENG,Male
494,Undergraduate,ENG,Female
495,Undergraduate,ENG,Male
496,Undergraduate,ENG,Male
497,Undergraduate,ENG,Female
498,Undergraduate,ENG,Male
499,Undergraduate,ENG,Female
500,Undergraduate,ENG,Male
501,Undergraduate,ENG,Female
502,Undergraduate,ENG,Male
503,Undergraduate,ENG,Female
504,Undergraduate,ENG,Male
505,Undergraduate,ENG,Female
506,Undergraduate,ENG,Male
507,Undergraduate,ENG,Female
508,Undergraduate,ENG,Male
509,Undergraduate,ENG,Female
510,Undergraduate,ENG,Male
511,Undergraduate,ENG,Female
512,Undergraduate,ENG,Male
513,Undergraduate,ENG,Female
514,Undergraduate,ENG,Male
515,Undergraduate,ENG,Female
516,Undergraduate,ENG,Male
517,Undergraduate,ENG,Female
518,Undergraduate,ENG,Male
519,Undergraduate,ENG,Female
520,Undergraduate,ENG,Male
521,Undergraduate,ENG,Female
522,Undergraduate,ENG,Male
523,Undergraduate,ENG,Male
524,Undergraduate,ENG,Male
525,Undergraduate,ENG,Female
526,Undergraduate,ENG,Male
527,Undergraduate,ENG,Female
528,Undergraduate,ENG,Male
529,Undergraduate,ENG,Female
530,Undergraduate,ENG,Male
531,Undergraduate,ENG,Female
532,Undergraduate,ENG,Male
533,Undergraduate,ENG,Female
534,Undergraduate,ENG,Male
535,Undergraduate,ENG,Female
536,Undergraduate,ENG,Male
537,Undergraduate,ENG,Male
538,Undergraduate,ENV,Male
539,Undergraduate,ENV,Female
540,Undergraduate,ENV,Male
541,Undergraduate,ENV,Female
542,Undergraduate,ENV,Male
543,Undergraduate,ENV,Female
544,Undergraduate,ENV,Male
545,Undergraduate,ENV,Female
546,Undergraduate,ENV,Male
547,Undergraduate,ENV,Female
548,Undergraduate,ENV,Male
549,Undergraduate,ENV,Female
550,Undergraduate,ENV,Female
551,Undergraduate,ENV,Male
552,Undergraduate,ENV,Male
553,Undergraduate,ENV,Female
554,Undergraduate,ENV,Male
555,Undergraduate,ENV,Female
556,Undergraduate,ENV,Male
557,Undergraduate,ENV,Female
558,Undergraduate,ENV,Male
559,Undergraduate,ENV,Male
560,Undergraduate,ENV,Female
561,Undergraduate,ENV,Female
562,Undergraduate,ENV,Male
563,Undergraduate,ENV,Female
564,Undergraduate,ENV,Male
565,Undergraduate,ENV,Female
566,Undergraduate,ENV,Male
567,Undergraduate,ENV,Male
568,Undergraduate,ENV,Female
569,Undergraduate,ENV,Male
570,Undergraduate,ENV,Female
571,Undergraduate,ENV,Female
572,Undergraduate,ENV,Male
573,Undergraduate,ENV,Female
574,Undergraduate,ENV,Female
575,Undergraduate,ENV,Male
576,Undergraduate,ENV,Female
577,Undergraduate,ENV,Female
578,Undergraduate,ENV,Male
579,Undergraduate,ENV,Female
580,Undergraduate,ENV,Male
581,Undergraduate,ENV,Female
582,Undergraduate,ENV,Male
583,Undergraduate,ENV,Female
584,Undergraduate,ENV,Male
585,Undergraduate,ENV,Female
586,Undergraduate,MATH,Male
587,Undergraduate,MATH,Male
588,Undergraduate,MATH,Female
589,Undergraduate,MATH,Male
590,Undergraduate,MATH,Male
591,Undergraduate,MATH,Male
592,Undergraduate,MATH,Male
593,Undergraduate,MATH,Female
594,Undergraduate,MATH,Male
595,Undergraduate,MATH,Female
596,Undergraduate,MATH,Male
597,Undergraduate,MATH,Male
598,Undergraduate,MATH,Female
599,Undergraduate,MATH,Male
600,Undergraduate,MATH,Female
601,Undergraduate,MATH,Male
602,Undergraduate,MATH,Male
603,Undergraduate,MATH,Male
604,Undergraduate,MATH,Male
605,Undergraduate,MATH,Male
606,Undergraduate,MATH,Male
607,Undergraduate,MATH,Female
608,Undergraduate,MATH,Male
609,Undergraduate,MATH,Female
610,Undergraduate,MATH,Male
611,Undergraduate,MATH,Female
612,Undergraduate,MATH,Male
613,Undergraduate,MATH,Female
614,Undergraduate,MATH,Male
615,Undergraduate,MATH,Female
616,Undergraduate,MATH,Male
617,Undergraduate,MATH,Male
618,Undergraduate,MATH,Male
619,Undergraduate,MATH,Female
620,Undergraduate,MATH,Male
621,Undergraduate,MATH,Female
622,Undergraduate,MATH,Male
623,Undergraduate,MATH,Female
624,Undergraduate,MATH,Male
625,Undergraduate,MATH,Female
626,Undergraduate,MATH,Male
627,Undergraduate,MATH,Female
628,Undergraduate,MATH,Male
629,Undergraduate,MATH,Female
630,Undergraduate,MATH,Male
631,Undergraduate,MATH,Female
632,Undergraduate,MATH,Male
633,Undergraduate,MATH,Female
634,Undergraduate,MATH,Male
635,Undergraduate,MATH,Female
636,Undergraduate,MATH,Male
637,Undergraduate,MATH,Female
638,Undergraduate,MATH,Male
639,Undergraduate,MATH,Female
640,Undergraduate,MATH,Male
641,Undergraduate,MATH,Female
642,Undergraduate,MATH,Male
643,Undergraduate,MATH,Female
644,Undergraduate,MATH,Female
645,Undergraduate,MATH,Male
646,Undergraduate,MATH,Male
647,Undergraduate,MATH,Male
648,Undergraduate,MATH,Female
649,Undergraduate,MATH,Male
650,Undergraduate,MATH,Female
651,Undergraduate,MATH,Male
652,Undergraduate,MATH,Female
653,Undergraduate,MATH,Male
654,Undergraduate,MATH,Female
655,Undergraduate,MATH,Male
656,Undergraduate,MATH,Female
657,Undergraduate,MATH,Female
658,Undergraduate,MATH,Male
659,Undergraduate,MATH,Male
660,Undergraduate,MATH,Female
661,Undergraduate,MATH,Male
662,Undergraduate,MATH,Female
663,Undergraduate,MATH,Male
664,Undergraduate,MATH,Female
665,Undergraduate,MATH,Male
666,Undergraduate,MATH,Female
667,Undergraduate,SCI,Male
668,Undergraduate,SCI,Female
669,Undergraduate,SCI,Male
670,Undergraduate,SCI,Female
671,Undergraduate,SCI,Male
672,Undergraduate,SCI,Female
673,Undergraduate,SCI,Male
674,Undergraduate,SCI,Female
675,Undergraduate,SCI,Male
676,Undergraduate,SCI,Female
677,Undergraduate,SCI,Male
678,Undergraduate,SCI,Female
679,Undergraduate,SCI,Male
680,Undergraduate,SCI,Female
681,Undergraduate,SCI,Male
682,Undergraduate,SCI,Female
683,Undergraduate,SCI,Male
684,Undergraduate,SCI,Female
685,Undergraduate,SCI,Female
686,Undergraduate,SCI,Male
687,Undergraduate,SCI,Female
688,Undergraduate,SCI,Male
689,Undergraduate,SCI,Female
690,Undergraduate,SCI,Female
691,Undergraduate,SCI,Male
692,Undergraduate,SCI,Female
693,Undergraduate,SCI,Male
694,Undergraduate,SCI,Female
695,Undergraduate,SCI,Male
696,Undergraduate,SCI,Female
697,Undergraduate,SCI,Male
698,Undergraduate,SCI,Female
699,Undergraduate,SCI,Female
700,Undergraduate,SCI,Male
701,Undergraduate,SCI,Male
702,Undergraduate,SCI,Female
703,Undergraduate,SCI,Female
704,Undergraduate,SCI,Male
705,Undergraduate,SCI,Female
706,Undergraduate,SCI,Female
707,Undergraduate,SCI,Male
708,Undergraduate,SCI,Female
709,Undergraduate,SCI,Male
710,Undergraduate,SCI,Male
711,Undergraduate,SCI,Female
712,Undergraduate,SCI,Female
713,Undergraduate,SCI,Male
714,Undergraduate,SCI,Female
715,Undergraduate,SCI,Female
716,Undergraduate,SCI,Female
717,Undergraduate,SCI,Male
718,Undergraduate,SCI,Male
719,Undergraduate,SCI,Male
720,Undergraduate,SCI,Female
721,Undergraduate,SCI,Female
722,Undergraduate,SCI,Male
723,Undergraduate,SCI,Female
724,Undergraduate,SCI,Male
725,Undergraduate,SCI,Female
726,Undergraduate,SCI,Male
727,Undergraduate,SCI,Female
728,Undergraduate,SCI,Male
729,Undergraduate,SCI,Male
730,Undergraduate,SCI,Female
731,Undergraduate,SCI,Female
732,Undergraduate,SCI,Female
733,Undergraduate,SCI,Male
734,Undergraduate,SCI,Female
735,Undergraduate,SCI,Male
736,Undergraduate,SCI,Female
737,Undergraduate,SCI,Female
738,Undergraduate,SCI,Male
739,Undergraduate,SCI,Female
740,Undergraduate,SCI,Male
741,Undergraduate,SCI,Female
742,Undergraduate,SCI,Male
743,Undergraduate,SCI,Female
744,Undergraduate,SCI,Male
745,Undergraduate,SCI,Male
746,Undergraduate,SCI,Female
747,Undergraduate,SCI,Male
748,Undergraduate,SCI,Female
749,Undergraduate,SCI,Male
750,Undergraduate,SCI,Female
751,Undergraduate,SCI,Male
752,Undergraduate,SCI,Female
753,Undergraduate,SCI,Female
754,Undergraduate,SCI,Male
755,Undergraduate,SCI,Female
756,Undergraduate,SCI,Male
757,Undergraduate,SCI,Female
758,Undergraduate,SCI,Male
759,Undergraduate,SCI,Female
760,Undergraduate,SCI,Male
761,Undergraduate,SCI,Female
762,Undergraduate,SCI,Male
763,Undergraduate,SCI,Female
764,Undergraduate,SCI,Female
765,Undergraduate,SE,Male
766,Undergraduate,SE,Female
767,Undergraduate,SE,Male
768,Undergraduate,SE,Female
769,Undergraduate,SE,Male
770,Undergraduate,ARTS,Male
771,Undergraduate,ARTS,Female
772,Undergraduate,ARTS,Male
773,Undergraduate,ARTS,Female
774,Undergraduate,ARTS,Male
775,Undergraduate,ARTS,Female
776,Undergraduate,ARTS,Male
777,Undergraduate,ARTS,Male
778,Undergraduate,ARTS,Female
779,Undergraduate,ARTS,Female
780,Undergraduate,ARTS,Male
781,Undergraduate,ARTS,Female
782,Undergraduate,ARTS,Female
783,Undergraduate,ARTS,Female
784,Undergraduate,ARTS,Male
785,Undergraduate,ARTS,Female
786,Undergraduate,ARTS,Female
787,Undergraduate,ARTS,Female
788,Undergraduate,ARTS,Male
789,Undergraduate,ARTS,Female
790,Undergraduate,ARTS,Female
791,Undergraduate,ARTS,Male
792,Undergraduate,ARTS,Female
793,Undergraduate,ARTS,Male
794,Undergraduate,ARTS,Female
795,Undergraduate,ARTS,Female
796,Undergraduate,ARTS,Female
797,Undergraduate,ARTS,Female
798,Undergraduate,ARTS,Male
799,Undergraduate,ARTS,Female
800,Undergraduate,ARTS,Male
801,Undergraduate,ARTS,Male
802,Undergraduate,ARTS,Female
803,Undergraduate,ARTS,Female
804,Undergraduate,ARTS,Female
805,Undergraduate,ARTS,Female
806,Undergraduate,ARTS,Male
807,Undergraduate,ARTS,Female
808,Undergraduate,ARTS,Male
809,Undergraduate,ARTS,Female
810,Undergraduate,ARTS,Female
811,Undergraduate,ARTS,Male
812,Undergraduate,ARTS,Female
813,Undergraduate,ARTS,Female
814,Undergraduate,ARTS,Female
815,Undergraduate,ARTS,Female
816,Undergraduate,ARTS,Male
817,Undergraduate,ARTS,Female
818,Undergraduate,ARTS,Male
819,Undergraduate,ARTS,Male
820,Undergraduate,ARTS,Female
821,Undergraduate,ARTS,Female
822,Undergraduate,ARTS,Female
823,Undergraduate,ARTS,Female
824,Undergraduate,ARTS,Male
825,Undergraduate,ARTS,Female
826,Undergraduate,ARTS,Male
827,Undergraduate,ARTS,Female
828,Undergraduate,ARTS,Male
829,Undergraduate,ARTS,Male
830,Undergraduate,ARTS,Male
831,Undergraduate,ARTS,Female
832,Undergraduate,ARTS,Male
833,Undergraduate,ARTS,Female
834,Undergraduate,ARTS,Male
835,Undergraduate,ARTS,Female
836,Undergraduate,ARTS,Female
837,Undergraduate,ARTS,Female
838,Undergraduate,ARTS,Female
839,Undergraduate,ARTS,Female
840,Undergraduate,ARTS,Female
841,Undergraduate,MATH,Male
842,Undergraduate,MATH,Female
843,Undergraduate,MATH,Female
844,Undergraduate,MATH,Male
845,Undergraduate,MATH,Male
846,Undergraduate,MATH,Male
847,Undergraduate,MATH,Female
848,Undergraduate,MATH,Male
849,Undergraduate,MATH,Male
850,Undergraduate,MATH,Female
851,Undergraduate,MATH,Male
852,Undergraduate,MATH,Male
853,Undergraduate,MATH,Male
854,Undergraduate,MATH,Male
855,Undergraduate,MATH,Male
856,Undergraduate,MATH,Female
857,Undergraduate,MATH,Male
858,Undergraduate,MATH,Female
859,Undergraduate,MATH,Male
860,Undergraduate,MATH,Female
861,Undergraduate,MATH,Male
862,Undergraduate,MATH,Female
863,Undergraduate,MATH,Male
864,Undergraduate,MATH,Male
865,Undergraduate,MATH,Male
866,Undergraduate,MATH,Female
867,Undergraduate,MATH,Male
868,Undergraduate,MATH,Female
869,Undergraduate,MATH,Male
870,Undergraduate,MATH,Female
871,Undergraduate,MATH,Male
872,Undergraduate,MATH,Female
873,Undergraduate,MATH,Female
874,Undergraduate,MATH,Female
875,Undergraduate,AHS,Male
876,Undergraduate,AHS,Female
877,Undergraduate,AHS,Male
878,Undergraduate,AHS,Male
879,Undergraduate,AHS,Male
880,Undergraduate,AHS,Female
881,Undergraduate,AHS,Male
882,Undergraduate,AHS,Male
883,Undergraduate,AHS,Female
884,Undergraduate,AHS,Male
885,Undergraduate,AHS,Female
886,Undergraduate,AHS,Male
887,Undergraduate,AHS,Female
888,Undergraduate,AHS,Male
889,Undergraduate,AHS,Female
890,Undergraduate,AHS,Male
891,Undergraduate,AHS,Female
892,Undergraduate,AHS,Female
893,Undergraduate,AHS,Male
894,Undergraduate,AHS,Female
895,Undergraduate,AHS,Male
896,Undergraduate,AHS,Male
897,Undergraduate,AHS,Male
898,Undergraduate,AHS,Female
